,name,bigg_id,metabolites
341,2-dehydro-3-deoxy-D-gluconate-6-phosphate,rxn03884_c,"[{'coefficient': -1.0, 'bigg_id': '2ddg6p_c'}, {'coefficient': 1.0, 'bigg_id': 'g3p_c'}, {'coefficient': 1.0, 'bigg_id': 'pyr_c'}]"
342,Dihydrofolate NADP oxidoreductase,rxn01602_c,"[{'coefficient': -1.0, 'bigg_id': 'nadp_c'}, {'coefficient': -1.0, 'bigg_id': 'dhf_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadph_c'}, {'coefficient': 1.0, 'bigg_id': 'fol_c'}]"
343,acetyl-CoA phosphate acetyltransferase,rxn00670_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'pi_c'}, {'coefficient': -1.0, 'bigg_id': 'ppcoa_c'}, {'coefficient': 1.0, 'bigg_id': 'coa_c'}, {'coefficient': 1.0, 'bigg_id': 'ppap_c'}]"
344,Formate NAD oxidoreductase,rxn00371_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'for_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}]"
345,Ethanolamine ammonia-lyase,rxn00539_c,"[{'coefficient': -1.0, 'bigg_id': 'etha_c'}, {'coefficient': 1.0, 'bigg_id': 'acald_c'}, {'coefficient': 1.0, 'bigg_id': 'nh4_c'}]"
346,2-Methylpropanoyl-CoA acceptor 2 3-oxidoreductase,rxn01924_c,"[{'coefficient': -1.0, 'bigg_id': '2mp2coa_c'}, {'coefficient': -1.0, 'bigg_id': 'fadh2_c'}, {'coefficient': 1.0, 'bigg_id': 'ibcoa_c'}, {'coefficient': 1.0, 'bigg_id': 'fad_c'}]"
347,3-demethylubiquinone-9 3-o-methyltransferase,rxn11946_c,"[{'coefficient': -1.0, 'bigg_id': 'cpd03449_c'}, {'coefficient': -1.0, 'bigg_id': 'amet_c'}, {'coefficient': 1.0, 'bigg_id': 'q8_c'}, {'coefficient': 1.0, 'bigg_id': 'ahcys_c'}]"
348,15-methyl-trans-hexa-dec-2-enoyl-ACP NAD oxidoreductase A-specific,rxn05444_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd11543_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11544_c'}]"
349,Nicotinamide-nucleotide pyrophosphate,rxn00941_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'prpp_c'}, {'coefficient': -1.0, 'bigg_id': 'ncam_c'}, {'coefficient': 1.0, 'bigg_id': 'ppi_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'nmn_c'}]"
350,membrane alanyl aminopeptidase,rxn00650_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'cgly_c'}, {'coefficient': 1.0, 'bigg_id': 'gly_c'}, {'coefficient': 1.0, 'bigg_id': 'cys__L_c'}]"
351,Dihydrolipoamide NAD oxidoreductase,rxn01241_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'dhlam_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'lpam_c'}]"
352,D-Arabinose-5-phosphate ketol-isomerase,rxn01117_c,"[{'coefficient': -1.0, 'bigg_id': 'ru5p__D_c'}, {'coefficient': 1.0, 'bigg_id': 'ara5p_c'}]"
353,IMP pyrophosphate phosphoribosyltransferase,rxn00836_c,"[{'coefficient': -1.0, 'bigg_id': 'prpp_c'}, {'coefficient': -1.0, 'bigg_id': 'hxan_c'}, {'coefficient': 1.0, 'bigg_id': 'ppi_c'}, {'coefficient': 1.0, 'bigg_id': 'imp_c'}]"
354,aminopeptidase,rxn12646_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gly_gln__L_c'}, {'coefficient': 1.0, 'bigg_id': 'gly_c'}, {'coefficient': 1.0, 'bigg_id': 'gln__L_c'}]"
355,hydrogen peroxide reductase thioredoxin,rxn09296_c,"[{'coefficient': -1.0, 'bigg_id': 'trdrd_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o2_c'}, {'coefficient': 2.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'trdox_c'}]"
356,5-O-1-Carboxyvinyl-3-phosphoshikimate phosphate-lyase,rxn01255_c,"[{'coefficient': -1.0, 'bigg_id': '3psme_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'chor_c'}]"
357,S-2-Aceto-2-hydroxybutanoate pyruvate-lyase carboxylating,rxn03194_c,"[{'coefficient': -1.0, 'bigg_id': '2obut_c'}, {'coefficient': -1.0, 'bigg_id': '2ahethmpp_c'}, {'coefficient': 1.0, 'bigg_id': '2ahbut_c'}, {'coefficient': 1.0, 'bigg_id': 'thmpp_c'}]"
358,S-Dihydroorotate oxygen oxidoreductase,rxn01360_c,"[{'coefficient': -1.0, 'bigg_id': 'o2_c'}, {'coefficient': -1.0, 'bigg_id': 'dhor__S_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o2_c'}, {'coefficient': 1.0, 'bigg_id': 'orot_c'}]"
359,N2-succinyl-L-arginine iminohydrolase decarboxylating,rxn02927_c,"[{'coefficient': -2.0, 'bigg_id': 'h_c'}, {'coefficient': -2.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'sucarg_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': 'sucorn_c'}, {'coefficient': 2.0, 'bigg_id': 'nh4_c'}]"
360,1-Deoxy-D-xylulose-5-phosphate isomeroreductase,rxn03958_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadph_c'}, {'coefficient': -1.0, 'bigg_id': 'dxyl5p_c'}, {'coefficient': 1.0, 'bigg_id': 'nadp_c'}, {'coefficient': 1.0, 'bigg_id': '2me4p_c'}]"
361,4-methyl-trans-hex-2-enoyl-ACP NAD oxidoreductase A-specific,rxn05433_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd11498_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11499_c'}]"
362,10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05373_c,"[{'coefficient': -1.0, 'bigg_id': 'cpd11509_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11510_c'}]"
363,malonyl-ACP acyl-carrier-protein transferase,rxn05465_c,"[{'coefficient': -1.0, 'bigg_id': 'ACP_c'}, {'coefficient': -1.0, 'bigg_id': 'malcoa_c'}, {'coefficient': 1.0, 'bigg_id': 'coa_c'}, {'coefficient': 1.0, 'bigg_id': 'malACP_c'}]"
364,14-methyl-hexa-decanoyl-ACP acyl-carrier-protein transferase,rxn05452_c,"[{'coefficient': -1.0, 'bigg_id': 'coa_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd11519_c'}, {'coefficient': 1.0, 'bigg_id': 'fa12coa_c'}, {'coefficient': 1.0, 'bigg_id': 'ACP_c'}]"
365,ATP riboflavin 5-phosphotransferase,rxn00392_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'ribflv_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'fmn_c'}]"
366,Nicotinate D-ribonucleotide phosphohydrolase,rxn02400_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'nicrnt_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'nicrns_c'}]"
367,R-Glycerate NAD oxidoreductase,rxn01280_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'glyc__R_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': '2h3oppan_c'}]"
368,Nicotinamide ribonucleotide phosphohydrolase,rxn01670_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'nmn_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'rnam_c'}]"
369,3R-3-Hydroxypalmitoyl-acyl-carrier-protein NADP oxidoreductase,rxn05336_c,"[{'coefficient': -1.0, 'bigg_id': 'nadp_c'}, {'coefficient': -1.0, 'bigg_id': '3hpalmACP_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadph_c'}, {'coefficient': 1.0, 'bigg_id': '3opalmACP_c'}]"
370,S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase,rxn02287_c,"[{'coefficient': -2.0, 'bigg_id': 'amet_c'}, {'coefficient': -1.0, 'bigg_id': 'uppg3_c'}, {'coefficient': 2.0, 'bigg_id': 'h_c'}, {'coefficient': 2.0, 'bigg_id': 'ahcys_c'}, {'coefficient': 1.0, 'bigg_id': 'pre2_c'}]"
371,2 5-Diamino-6-hydroxy-4-5-phosphoribosylamino-pyrimidine,rxn02475_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': '25drapp_c'}, {'coefficient': 1.0, 'bigg_id': 'nh4_c'}, {'coefficient': 1.0, 'bigg_id': '5apru_c'}]"
372,ATP pyruvate water phosphotransferase,PPS,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'pyr_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'pep_c'}, {'coefficient': 1.0, 'bigg_id': 'amp_c'}]"
373,PIt6,PIt2r,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'h_e'}, {'coefficient': 1.0, 'bigg_id': 'pi_e'}]"
374,S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase,rxn02774_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'pre2_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'scl_c'}]"
375,Octanoyl-acyl-carrier protein malonyl-CoA,rxn05325_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'toct2eACP_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'ocACP_c'}]"
376,dGTP cytidine 5-phosphotransferase,rxn01510_c,"[{'coefficient': -1.0, 'bigg_id': 'cytd_c'}, {'coefficient': -1.0, 'bigg_id': 'dgtp_c'}, {'coefficient': 1.0, 'bigg_id': 'cmp_c'}, {'coefficient': 1.0, 'bigg_id': 'dgdp_c'}]"
377,Sulfate adenyltransferase,rxn09240_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gtp_c'}, {'coefficient': -1.0, 'bigg_id': 'so4_c'}, {'coefficient': 1.0, 'bigg_id': 'ppi_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'gdp_c'}, {'coefficient': 1.0, 'bigg_id': 'aps_c'}]"
378,L-Ornithine ammonia-lyasecyclizing,rxn00471_c,"[{'coefficient': -1.0, 'bigg_id': 'orn_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pro__L_c'}, {'coefficient': 1.0, 'bigg_id': 'nh4_c'}]"
379,UDP-N-acetylglucosamine-N-acetylmuramyl-pentapeptidepyrophosphoryl-undecaprenol N-acetylglucosamine transferase,rxn03408_c,"[{'coefficient': -1.0, 'bigg_id': 'uacgam_c'}, {'coefficient': -1.0, 'bigg_id': 'uagmda_c'}, {'coefficient': 1.0, 'bigg_id': 'uaagmda_c'}, {'coefficient': 1.0, 'bigg_id': 'udp_c'}]"
380,L-Ornithine-ABC transport,rxn05156_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'orn_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'orn_c'}]"
381,2-Oxoglutarate Thiamin diphosphate 2-oxidoreductasedecarboxylating,rxn00441_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'akg_c'}, {'coefficient': -1.0, 'bigg_id': 'thmpp_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': 'HC01435_c'}]"
382,D-Glucosamine 1-phosphate 1 6-phosphomutase,rxn01485_c,"[{'coefficient': -1.0, 'bigg_id': 'gam1p_c'}, {'coefficient': 1.0, 'bigg_id': 'gam6p_c'}]"
383,Deoxyribokinase,rxn01987_c,"[{'coefficient': -1.0, 'bigg_id': 'adp_c'}, {'coefficient': -1.0, 'bigg_id': '2dr5p_c'}, {'coefficient': 1.0, 'bigg_id': 'atp_c'}, {'coefficient': 1.0, 'bigg_id': 'drib_c'}]"
384,Dipeptide transport via ABC system ala-gln,rxn05540_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'ala_L_gln__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'ala_L_gln__L_c'}]"
385,Cytidine-5-monophosphate phosphohydrolase,rxn00363_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'cmp_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'cytd_c'}]"
386,S-4-Amino-5-oxopentanoate 4 5-aminomutase,rxn01629_c,"[{'coefficient': -1.0, 'bigg_id': '5aop_c'}, {'coefficient': 1.0, 'bigg_id': 'glu1sa_c'}]"
387,D-Glucosamine-6-phosphate ketol-isomerasedeaminating,rxn00552_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gam6p_c'}, {'coefficient': 1.0, 'bigg_id': 'f6p_c'}, {'coefficient': 1.0, 'bigg_id': 'nh4_c'}]"
388,stearoyl-glycerol-3-phosphate O-acyltransferase,rxn10204_c,"[{'coefficient': -1.0, 'bigg_id': 'glyc3p_c'}, {'coefficient': -1.0, 'bigg_id': 'stcoa_c'}, {'coefficient': 1.0, 'bigg_id': 'coa_c'}, {'coefficient': 1.0, 'bigg_id': '1odecg3p_c'}]"
389,L-Isoleucine-ABC transport,rxn05179_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'ile__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'ile__L_c'}]"
390,L-Lysine-ABC transport,rxn05151_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'lys__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'lys__L_c'}]"
391,guanosine orthophosphate ribosyltransferase,rxn01548_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'pi_c'}, {'coefficient': -1.0, 'bigg_id': 'gsn_c'}, {'coefficient': 1.0, 'bigg_id': 'gua_c'}, {'coefficient': 1.0, 'bigg_id': 'r1p_c'}]"
392,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05377_c,"[{'coefficient': -1.0, 'bigg_id': 'cpd11513_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11514_c'}]"
393,stearyl-ACP acyl-carrier-protein transferase,rxn05459_c,"[{'coefficient': -1.0, 'bigg_id': 'coa_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd11573_c'}, {'coefficient': 1.0, 'bigg_id': 'ACP_c'}, {'coefficient': 1.0, 'bigg_id': 'stcoa_c'}]"
394,chorismate pyruvate-lyase 4-hydroxybenzoate-forming,rxn00966_c,"[{'coefficient': -1.0, 'bigg_id': 'chor_c'}, {'coefficient': 1.0, 'bigg_id': 'pyr_c'}, {'coefficient': 1.0, 'bigg_id': '4hbz_c'}]"
395,S-3-Hydroxybutanoyl-CoA NAD oxidoreductase,rxn01451_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': '3hbcoa_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'aacoa_c'}]"
396,D-Fructose 6-phosphate D-glyceraldehyde-3-phosphate glycolaldehyde,TKT2,"[{'coefficient': -1.0, 'bigg_id': 'g3p_c'}, {'coefficient': -1.0, 'bigg_id': 'f6p_c'}, {'coefficient': 1.0, 'bigg_id': 'xu5p__D_c'}, {'coefficient': 1.0, 'bigg_id': 'e4p_c'}]"
397,Tetradecanoyl-acyl-carrier protein malonyl-CoA,rxn05323_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'tmrs2eACP_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'myrsACP_c'}]"
398,5-Phosphoribosylformylglycinamide L-glutamine amido-ligase,rxn03084_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gln__L_c'}, {'coefficient': -1.0, 'bigg_id': 'fgam_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'glu__L_c'}, {'coefficient': 1.0, 'bigg_id': 'fpram_c'}]"
399,pyruvate thiamin diphosphate acetaldehydetransferase,rxn00011_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'pyr_c'}, {'coefficient': -1.0, 'bigg_id': 'thmpp_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': '2ahethmpp_c'}]"
400,Ammonia transport via diffusion,NH4t,"[{'coefficient': -1.0, 'bigg_id': 'nh4_e'}, {'coefficient': 1.0, 'bigg_id': 'nh4_c'}]"
401,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05398_c,"[{'coefficient': -1.0, 'bigg_id': 'cpd11534_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11535_c'}]"
402,Octadecanoate transport via proton symport,rxn10161_c,"[{'coefficient': -1.0, 'bigg_id': 'h_e'}, {'coefficient': -1.0, 'bigg_id': 'ocdca_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'ocdca_c'}]"
403,Uridine 5-monophosphate phosphohydrolase,rxn00708_c,"[{'coefficient': -1.0, 'bigg_id': 'ump_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'uri_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}]"
404,ATP dTMP phosphotransferase,rxn01513_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'dtmp_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'dtdp_c'}]"
405,Phosphoenolpyruvate 3-phosphoshikimate,rxn02476_c,"[{'coefficient': -1.0, 'bigg_id': 'pep_c'}, {'coefficient': -1.0, 'bigg_id': 'skm5p_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': '3psme_c'}]"
406,3R-3-Hydroxybutanoyl-acyl-carrier-protein hydro-lyase,rxn05333_c,"[{'coefficient': -1.0, 'bigg_id': '3hdecACP_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'tdec2eACP_c'}]"
407,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,rxn01870_c,"[{'coefficient': -1.0, 'bigg_id': 'f1p_c'}, {'coefficient': 1.0, 'bigg_id': 'dhap_c'}, {'coefficient': 1.0, 'bigg_id': 'glyald_c'}]"
408,5-methyltetrahydrofolate NAD oxidoreductase,rxn04954_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'mlthf_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': '5mthf_c'}]"
409,L-Isoleucine 2-oxoglutarate aminotransferase,rxn01575_c,"[{'coefficient': -1.0, 'bigg_id': 'glu__L_c'}, {'coefficient': -1.0, 'bigg_id': '3mop_c'}, {'coefficient': 1.0, 'bigg_id': 'akg_c'}, {'coefficient': 1.0, 'bigg_id': 'ile__L_c'}]"
410,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,rxn02342_c,"[{'coefficient': -1.0, 'bigg_id': 'lpam_c'}, {'coefficient': -1.0, 'bigg_id': '2ahethmpp_c'}, {'coefficient': 1.0, 'bigg_id': 'thmpp_c'}, {'coefficient': 1.0, 'bigg_id': 'adhlam_c'}]"
411,D-Glyceraldehyde-3-phosphate NAD oxidoreductasephosphorylating,rxn00781_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'pi_c'}, {'coefficient': -1.0, 'bigg_id': 'g3p_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': '13dpg_c'}]"
412,citrate hydro-lyase,rxn00973_c,"[{'coefficient': -1.0, 'bigg_id': 'cit_c'}, {'coefficient': 1.0, 'bigg_id': 'icit_c'}]"
413,Betaine-ABC transport,rxn05181_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'glyb_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'glyb_c'}]"
414,Deoxyinosine orthophosphate ribosyltransferase,rxn01985_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'pi_c'}, {'coefficient': -1.0, 'bigg_id': 'din_c'}, {'coefficient': 1.0, 'bigg_id': '2dr1p_c'}, {'coefficient': 1.0, 'bigg_id': 'hxan_c'}]"
415,ATP CMP phosphotransferase,rxn00364_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'cmp_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'cdp_c'}]"
416,ATP deoxyguanosine 5-phosphotransferase,rxn01444_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'dgsn_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'dgmp_c'}]"
417,ATP nucleoside-diphosphate phosphatransferase,rxn00515_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'idp_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'itp_c'}]"
418,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate meso-2 6-,rxn02011_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': '26dap__M_c'}, {'coefficient': -1.0, 'bigg_id': 'uamag_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'ugmd_c'}]"
419,2 3-Dihydroxy-3-methylbutanoate NADP oxidoreductase isomerizing,rxn02186_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadph_c'}, {'coefficient': -1.0, 'bigg_id': 'alac__S_c'}, {'coefficient': 1.0, 'bigg_id': 'nadp_c'}, {'coefficient': 1.0, 'bigg_id': '23dhmb_c'}]"
